system   I             system.c:245  al_install_system                [   0.00052] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:184  _al_register_destructor          [   0.00075] added dtor for object 005ECD88, func 0FD0172B
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00086] Also searching C:\Users\gsvil\Documents\ProgramacionDeGraficos1TP3\TP3\binaries\Win32\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00111] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00113] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00324] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.03131] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.03237] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.03239] al_display=006B8248
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.03241] al_display->vt=005F0F10
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03560] found 160 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.03565] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03569] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03570] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03573] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03574] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03577] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03578] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03581] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03582] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03584] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03586] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03588] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03590] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03592] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03594] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03596] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03598] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03600] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03602] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03604] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03606] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03608] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03616] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03618] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03620] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03622] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03624] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03626] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03628] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03630] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03632] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03634] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03636] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03638] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03640] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03641] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03644] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03645] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03648] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03649] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03651] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03653] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03655] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03657] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03659] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03661] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03663] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03665] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03667] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03669] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03671] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03672] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03675] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03676] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03681] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03683] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03685] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03687] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03689] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03691] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03693] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03694] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03697] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03699] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03702] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03706] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03708] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03710] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03712] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03713] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03716] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03717] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03720] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.03721] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03724] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.03725] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03728] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.03729] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03731] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.03733] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03735] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03737] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03739] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03741] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03743] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03745] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03750] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03752] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03755] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03756] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03759] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03760] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03763] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03765] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03769] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03770] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03773] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03774] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03777] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03778] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03781] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03783] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03785] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03787] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03789] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03791] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03793] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03795] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03797] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03800] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03803] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03805] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03807] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03809] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03811] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03813] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03817] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03819] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03822] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03824] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03826] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03828] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03830] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03832] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03834] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03836] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03838] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03840] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03842] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03844] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03846] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03848] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03850] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03852] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03854] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03856] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03858] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03860] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03862] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03864] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03866] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03868] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03871] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03872] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03875] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03876] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03879] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03880] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03883] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03885] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03887] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03889] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.03891] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03893] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03895] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03897] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03899] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03901] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.03903] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.03905] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03907] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03909] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03911] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03913] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03915] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.03917] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03919] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.03921] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03923] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.03924] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03927] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03928] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03931] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03932] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03934] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.03936] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
